                                Прибор: Колхозная_21.06.22 (220621131903.mdb)
Канал  Параметр  Индекс     Значение         Ед.изм.          Наименование
   0        3        0    1040000004                                                       б/р           Спецификация внешнего оборудования
   0        6        0    0                                                                б/р           Телефонный номер компьютера     
   0        8        0    7064                                                             б/р           Номер прибора                   
   0        9        0    00-00-00                                                         чч:мм:сс      Начало временнОго интервала, когда разрешается 
   0       10        0    00-00-00                                                         чч:мм:сс      Конец временнОго интервала, когда разрешается о
   0       11        0    1                                                                б/р           Начальный номер квитанции для   
   0       15        0    0000000000                                                       б/р           Периодичность печати стандартных отчетов о пара
   0       20        0    17-08-16                                                         дд-мм-гг      Календарная дата ввода прибора в эксплуатацию и
   0       21        0    13-29-00                                                         чч:мм:сс      Астрономическое время суток ввода прибора в экс
   0       22        0    0                                                                с             Корректор суточного хода часов прибора
   0       22        1    01-01-97                                                         дд-мм-гг      Дата сезонного изменения времени
   0       22        2    02-00-00                                                         чч:мм:сс      Час суток, когда производится сезонное изменени
   0       22        3    0                                                                ч             Признак перевода часов вперед или назад
   0       23        0    10                                                               с             Минимальное время перерыва (отсутствия) электро
   0       23        1    17520                                                            ч             Максимальное суммарное время перерывов электроп
   0       24        0    10                                                               ч             Расчетный час для суточных архивов и регистраци
   0       25        0    01                                                               д             Расчетный день для месячных архивов и регистрац
   0       27        0    0                                                                б/р           Признак включения технологического режима.
   0       27        1    6                                                                мин           Время интегрирования в технологическом режиме р
   0       30        0    1                                                                б/р           Система единиц измерения, применяемая прибором
   0       30        1    0.01                                                             т             Дискретность показаний прибора по массе теплоно
   0       30        2    0.01                                                             ГКал          Дискретность показаний прибора по тепловой энер
   0       31        0    1100010                                                          б/р           Описание обслуживаемых прибором трубопроводов и
   0       35        0    00                                                               б/р           Признак подключения датчика температуры и тип д
   0       35        2    0                                                                'C            Нижний предел номинального диапазона измерений 
   0       35        3    1                                                                %             Метрологический заход за верхний номинальный пр
   0       35        4    1                                                                %             Метрологический заход за нижний номинальный пре
   0       36        0    00                                                               б/р           Признак подключения  датчика давления  и тип да
   0       36        3    1                                                                %             Метрологический заход за верхний номинальный пр
   0       36        4    1                                                                %             Метрологический заход за нижний номинальный пре
   0       36        5    0                                                                кгс/cм2       Поправка на высоту водяного столба в импульсной
   0       36        6    0                                                                кгс/cм2       Смещение нуля  датчика          
   0       40        0    0                                                                'C            Константное (договорное) значение температуры х
   0       41        0    760                                                              мм.рт.ст.     Константное (договорное) значение барометрическ
   0       42        0    2                                                                кгс/cм2       Константное (договорное) значение давления холо
   0       44        0    0                                                                б/р           Номер цепи, соответствующей первому датчику рас
   0       44        1    12                                                               б/р           Номер цепи, соответствующей второму датчику рас
   0       44        2    12                                                               б/р           Номер цепи, соответствующей датчику расхода или
